loda_id;loda_dia;loda_mes;loda_cidade;loda_uf;loda_latitude;loda_longitude
3846;2;5;Rio de Janeiro;RJ;-22.8978819;-43.2635227
3847;2;5;Mossoró;RN;-5.2104465;-37.3336596
3848;2;5;Fátima do Sul;MS;-22.36598;-54.5196648
3849;2;5;Camaçari;BA;-12.7057075;-38.321519
3850;2;5;Ananindeua;PA;-1.386842;-48.3714649
3851;2;5;Araci;BA;-11.3357831;-38.9638014
3852;3;5;Brejetuba;ES;-20.1469648;-41.2898829
3853;3;5;Rio Branco;AC;-10.0044802;-67.7979489
3854;3;5;Canoinhas;SC;-26.1742948;-50.3949335
3855;3;5;São Roque;SP;-23.5202136;-47.128245
3856;3;5;São Pedro da União;MG;-21.1308689;-46.6159815
3857;3;5;Salinas da Margarida;BA;-12.870255;-38.7854465
3858;3;5;Ourinhos;SP;-22.9728892;-49.8799469
3859;3;5;Duque de Caxias;RJ;-22.6149856;-43.2344447
3860;3;5;Três de Maio;RS;-27.7587265;-54.3043534
3861;3;5;São Paulo;SP;-23.6018394;-46.6420615
3862;3;5;Capanema;PA;-1.1967052;-47.174602
3863;3;5;Bujaru;PA;-1.5168986;-48.0370647
3864;3;5;Fortaleza;CE;-3.7500103;-38.5634868
3865;3;5;Salinas;MG;-16.1642399;-42.2832307
3866;3;5;Belém;PA;-1.455499;-48.4739948
3867;3;5;Croatá;CE;-4.4152092;-40.9070265
3868;3;5;Independência;RS;-27.8533104;-54.1907769
3869;3;5;Parnaíba;PI;-2.9265374;-41.7619679
3870;3;5;Tauá;CE;-6.0093613;-40.2896734
3871;3;5;Porto Alegre;RS;-30.0158451;-51.2003686
3872;3;5;Ibirama;SC;-27.0593601;-49.5205449
3873;3;5;Chapada do Norte;MG;-17.0524131;-42.651342
3874;3;5;Tomé-Açu;PA;-2.415227;-48.1494323
3875;3;5;Maceió;AL;-9.6599091;-35.7541217
3876;3;5;Pelotas;RS;-31.7756881;-52.3392457
3877;3;5;Joinville;SC;-26.3039838;-48.8455801
3878;3;5;Viseu;PA;-1.203624;-46.137854
3879;3;5;Salvador;BA;-12.9514016;-38.4961975
3880;3;5;Poço Verde;SE;-10.710327;-38.1739727
3881;4;5;Mata Verde;MG;-15.6932486;-40.735618
3882;4;5;Belterra;PA;-2.6501868;-54.9381757
3883;4;5;Porto Seguro;BA;-16.4198979;-39.0856713
3884;4;5;Fortaleza dos Nogueiras;MA;-6.9628722;-46.1691563
3885;4;5;Fortaleza;CE;-3.7854765;-38.5269856
3886;4;5;Mesquita;RJ;-22.7992779;-43.4337964
3887;4;5;Taquara;RS;-29.6659618;-50.7898714
3888;4;5;Belo Horizonte;MG;-19.9535734;-43.9613938
3889;4;5;Glorinha;RS;-29.8956625;-50.7938774
3890;4;5;Chopinzinho;PR;-25.8616676;-52.5269659
3891;4;5;Araranguá;SC;-28.9382103;-49.5010752
3892;4;5;Campos dos Goitacazes;RJ;-21.7820467;-41.2715801
3893;5;5;Patos de Minas;MG;-18.5916743;-46.5098014
3894;5;5;Igrejinha;RS;-29.5753123;-50.7777028
3895;5;5;Cariacica;ES;-20.346016;-40.3914227
